hotel_id,hotel_name,city,state,hotel_type,rating,price_per_night,amenities,available_rooms
1,Chennai Grand Hotel,Chennai,Tamil Nadu,Luxury,4.6,5600,"WiFi, Pool, Gym, Breakfast, Parking",5
2,Chennai Comfort Hotel,Chennai,Tamil Nadu,Premium,4.3,3600,"WiFi, Breakfast, Parking, AC",9
3,Chennai Heritage Hotel,Chennai,Tamil Nadu,Standard,4.1,2500,"WiFi, Restaurant, Parking, AC",12
4,Chennai Residency Hotel,Chennai,Tamil Nadu,Budget,3.9,1700,"WiFi, AC, Parking",15
5,Coimbatore Grand Hotel,Coimbatore,Tamil Nadu,Luxury,4.6,5600,"WiFi, Pool, Gym, Breakfast, Parking",5
6,Coimbatore Comfort Hotel,Coimbatore,Tamil Nadu,Premium,4.3,3600,"WiFi, Breakfast, Parking, AC",9
7,Coimbatore Heritage Hotel,Coimbatore,Tamil Nadu,Standard,4.1,2500,"WiFi, Restaurant, Parking, AC",12
8,Coimbatore Residency Hotel,Coimbatore,Tamil Nadu,Budget,3.9,1700,"WiFi, AC, Parking",15
9,Madurai Grand Hotel,Madurai,Tamil Nadu,Luxury,4.6,5200,"WiFi, Pool, Gym, Breakfast, Parking",5
10,Madurai Comfort Hotel,Madurai,Tamil Nadu,Premium,4.3,3600,"WiFi, Breakfast, Parking, AC",9
11,Madurai Heritage Hotel,Madurai,Tamil Nadu,Standard,4.1,2500,"WiFi, Restaurant, Parking, AC",12
12,Madurai Residency Hotel,Madurai,Tamil Nadu,Budget,3.9,1800,"WiFi, AC, Parking",15
13,Tiruchirappalli Grand Hotel,Tiruchirappalli,Tamil Nadu,Luxury,4.6,5300,"WiFi, Pool, Gym, Breakfast, Parking",5
14,Tiruchirappalli Comfort Hotel,Tiruchirappalli,Tamil Nadu,Premium,4.3,3700,"WiFi, Breakfast, Parking, AC",9
15,Tiruchirappalli Heritage Hotel,Tiruchirappalli,Tamil Nadu,Standard,4.1,2500,"WiFi, Restaurant, Parking, AC",12
16,Tiruchirappalli Residency Hotel,Tiruchirappalli,Tamil Nadu,Budget,3.9,1800,"WiFi, AC, Parking",15
17,Salem Grand Hotel,Salem,Tamil Nadu,Luxury,4.6,5300,"WiFi, Pool, Gym, Breakfast, Parking",5
18,Salem Comfort Hotel,Salem,Tamil Nadu,Premium,4.3,3400,"WiFi, Breakfast, Parking, AC",9
19,Salem Heritage Hotel,Salem,Tamil Nadu,Standard,4.1,2600,"WiFi, Restaurant, Parking, AC",12
20,Salem Residency Hotel,Salem,Tamil Nadu,Budget,3.9,1800,"WiFi, AC, Parking",15
21,Tirunelveli Grand Hotel,Tirunelveli,Tamil Nadu,Luxury,4.6,5400,"WiFi, Pool, Gym, Breakfast, Parking",5
22,Tirunelveli Comfort Hotel,Tirunelveli,Tamil Nadu,Premium,4.3,3400,"WiFi, Breakfast, Parking, AC",9
23,Tirunelveli Heritage Hotel,Tirunelveli,Tamil Nadu,Standard,4.1,2600,"WiFi, Restaurant, Parking, AC",12
24,Tirunelveli Residency Hotel,Tirunelveli,Tamil Nadu,Budget,3.9,1800,"WiFi, AC, Parking",15
25,Erode Grand Hotel,Erode,Tamil Nadu,Luxury,4.6,5400,"WiFi, Pool, Gym, Breakfast, Parking",5
26,Erode Comfort Hotel,Erode,Tamil Nadu,Premium,4.3,3500,"WiFi, Breakfast, Parking, AC",9
27,Erode Heritage Hotel,Erode,Tamil Nadu,Standard,4.1,2400,"WiFi, Restaurant, Parking, AC",12
28,Erode Residency Hotel,Erode,Tamil Nadu,Budget,3.9,1800,"WiFi, AC, Parking",15
29,Vellore Grand Hotel,Vellore,Tamil Nadu,Luxury,4.6,5500,"WiFi, Pool, Gym, Breakfast, Parking",5
30,Vellore Comfort Hotel,Vellore,Tamil Nadu,Premium,4.3,3500,"WiFi, Breakfast, Parking, AC",9
31,Vellore Heritage Hotel,Vellore,Tamil Nadu,Standard,4.1,2400,"WiFi, Restaurant, Parking, AC",12
32,Vellore Residency Hotel,Vellore,Tamil Nadu,Budget,3.9,1800,"WiFi, AC, Parking",15
33,Thoothukudi Grand Hotel,Thoothukudi,Tamil Nadu,Luxury,4.6,5500,"WiFi, Pool, Gym, Breakfast, Parking",5
34,Thoothukudi Comfort Hotel,Thoothukudi,Tamil Nadu,Premium,4.3,3500,"WiFi, Breakfast, Parking, AC",9
35,Thoothukudi Heritage Hotel,Thoothukudi,Tamil Nadu,Standard,4.1,2400,"WiFi, Restaurant, Parking, AC",12
36,Thoothukudi Residency Hotel,Thoothukudi,Tamil Nadu,Budget,3.9,1700,"WiFi, AC, Parking",15
37,Dindigul Grand Hotel,Dindigul,Tamil Nadu,Luxury,4.6,5600,"WiFi, Pool, Gym, Breakfast, Parking",5
38,Dindigul Comfort Hotel,Dindigul,Tamil Nadu,Premium,4.3,3600,"WiFi, Breakfast, Parking, AC",9
39,Dindigul Heritage Hotel,Dindigul,Tamil Nadu,Standard,4.1,2500,"WiFi, Restaurant, Parking, AC",12
40,Dindigul Residency Hotel,Dindigul,Tamil Nadu,Budget,3.9,1700,"WiFi, AC, Parking",15
41,Thanjavur Grand Hotel,Thanjavur,Tamil Nadu,Luxury,4.6,5600,"WiFi, Pool, Gym, Breakfast, Parking",5
42,Thanjavur Comfort Hotel,Thanjavur,Tamil Nadu,Premium,4.3,3600,"WiFi, Breakfast, Parking, AC",9
43,Thanjavur Heritage Hotel,Thanjavur,Tamil Nadu,Standard,4.1,2500,"WiFi, Restaurant, Parking, AC",12
44,Thanjavur Residency Hotel,Thanjavur,Tamil Nadu,Budget,3.9,1700,"WiFi, AC, Parking",15
45,Karur Grand Hotel,Karur,Tamil Nadu,Luxury,4.6,5200,"WiFi, Pool, Gym, Breakfast, Parking",5
46,Karur Comfort Hotel,Karur,Tamil Nadu,Premium,4.3,3600,"WiFi, Breakfast, Parking, AC",9
47,Karur Heritage Hotel,Karur,Tamil Nadu,Standard,4.1,2500,"WiFi, Restaurant, Parking, AC",12
48,Karur Residency Hotel,Karur,Tamil Nadu,Budget,3.9,1800,"WiFi, AC, Parking",15
